#virProtID	NCBI_ID
651	YP_338087.1
652	YP_338088.1
653	YP_338089.1
654	AIC76458.1
655	AIC76460.1
656	AIC76459.1
657	AIC76457.1
658	YP_009173968.1
659	YP_009173966.1
660	YP_009173965.1
661	YP_009173967.1
662	YP_002586773.1
663	YP_002586774.1
664	YP_002586775.1
665	YP_002586776.1
666	YP_002808454.1
667	YP_002808456.1
668	YP_002808455.1
669	YP_002808457.1
670	ACP39929.1
671	ACP39928.1
672	ACP39927.1
673	ACP39926.1
674	ACP39930.1
675	ACP39931.1
676	ACP39933.1
677	ACP39932.1
678	ACP39934.1
679	ACP39936.1
680	ACP39937.1
681	ACP39935.1
682	ABG77284.1
683	ABG77283.1
684	ABG77282.1
685	ABG77285.1
686	ABO32640.1
687	ABO32639.1
688	ABO32638.1
689	ABO32641.1
690	ABQ57491.1
691	ABQ57492.1
692	ABQ57493.1
693	ABQ57490.1
694	YP_009058897.1
695	YP_009058895.1
696	YP_009058894.1
697	YP_009058896.1
698	NP_047213.1
699	NP_047212.1
700	NP_047211.1
701	NP_047214.1
702	YP_004347992.1
703	YP_004347995.1
704	YP_004347994.1
705	YP_004347993.1
706	NP_690589.2
707	YP_006491243.1
708	NP_690588.1
709	YP_006491243.1
710	YP_009022028.1
711	YP_009022027.1
712	YP_009022029.1
713	YP_009022030.1
714	AGO61982.1
715	AGO61983.1
716	AGO61980.1
717	AGO61981.1
718	YP_009051963.1
719	YP_009051962.1
720	YP_009051961.1
721	YP_009051960.1
722	NP_690576.1
723	NP_690575.1
724	NP_690575.1
725	NP_690574.1
726	CAA69005.1
727	CAA69003.1
728	CAA69004.1
729	CAA69002.1
730	NP_899220.1
731	NP_899221.1
732	NP_899211.1
733	NP_899210.1
734	BAJ15486.1
735	BAJ15484.1
736	BAJ15485.1
737	BAJ15483.1
738	BAL03307.1
739	BAL03308.1
740	BAL03306.1
741	BAL03305.1
742	BAL03318.1
743	BAL03320.1
744	BAL03317.1
745	BAL03319.1
746	YP_009047243.1
747	YP_009047242.1
748	YP_009047241.1
749	YP_009047244.1
750	NP_671969.1
751	NP_671968.1
752	NP_671970.1
753	NP_671971.1
754	NP_694851.1
755	NP_694845.1
756	NP_694852.1
757	NP_694846.1
758	YP_001816785.1
759	YP_001816783.1
760	YP_001816784.1
761	YP_001816782.1
762	NP_694871.1
763	NP_694870.1
764	NP_694872.1
765	NP_694869.1
766	YP_002929490.1
767	YP_002929492.1
768	YP_002929493.1
769	YP_002929491.1
770	NP_899213.1
771	NP_899212.1
772	NP_899214.1
773	NP_899215.1
774	YP_138535.1
775	YP_138534.1
776	YP_138543.1
777	YP_138544.1
778	YP_089659.1
779	YP_089660.1
780	YP_089666.1
781	YP_089665.1
782	YP_009111419.1
783	YP_009111421.1
784	YP_009111422.1
785	YP_009111420.1
786	NP_982304.1
787	NP_982303.1
788	NP_982305.1
789	NP_982306.1
790	CAA52505.1
791	CAA52504.1
792	CAA52502.1
793	CAA52503.1
794	YP_009142918.1
795	YP_009142919.1
796	YP_009142920.1
797	YP_009142917.1
798	YP_003848707.1
799	YP_003848706.1
800	YP_003848704.1
801	YP_003848705.1
802	YP_089667.1
