2016-11-17 13:03:38 - __main__ - INFO: Processing UniProt entry 172: Q6ZNF0
2016-11-17 13:03:39 - __main__ - INFO: Processing UniProt entry 173: P31941
2016-11-17 13:03:40 - __main__ - INFO: Processing UniProt entry 174: O75027
2016-11-17 13:03:41 - __main__ - INFO: Processing UniProt entry 175: Q9NRK6
2016-11-17 13:03:42 - __main__ - INFO: Processing UniProt entry 176: O95342
2016-11-17 13:03:43 - __main__ - INFO: Processing UniProt entry 177: Q9UBJ2
2016-11-17 13:03:44 - __main__ - INFO: Processing UniProt entry 178: P28288
2016-11-17 13:03:55 - __main__ - INFO: Processing UniProt entry 179: Q8NFV4
2016-11-17 13:03:56 - __main__ - INFO: Processing UniProt entry 180: Q9ULW3
2016-11-17 13:03:57 - __main__ - INFO: Processing UniProt entry 181: Q9H845
2016-11-17 13:04:02 - __main__ - INFO: Processing UniProt entry 182: P16219
2016-11-17 13:04:08 - __main__ - INFO: Processing UniProt entry 183: O00400
2016-11-17 13:04:10 - __main__ - INFO: Processing UniProt entry 184: Q8NC06
2016-11-17 13:04:15 - __main__ - INFO: Processing UniProt entry 185: P30926
2016-11-17 13:04:21 - __main__ - INFO: Processing UniProt entry 186: P11230
2016-11-17 13:04:27 - __main__ - INFO: Processing UniProt entry 187: P10323
2016-11-17 13:04:28 - __main__ - INFO: Processing UniProt entry 188: Q68CK6
2016-11-17 13:04:29 - __main__ - INFO: Processing UniProt entry 189: Q9NR19
2016-11-17 13:04:35 - __main__ - INFO: Processing UniProt entry 190: Q9H6R3
2016-11-17 13:04:35 - __main__ - INFO: Processing UniProt entry 191: Q8TDG2
2016-11-17 13:04:36 - __main__ - INFO: Processing UniProt entry 192: P42025
2016-11-17 13:04:37 - __main__ - INFO: Processing UniProt entry 193: O75078
2016-11-17 13:04:52 - __main__ - INFO: Processing UniProt entry 194: P35348
2016-11-17 13:04:53 - __main__ - INFO: Processing UniProt entry 195: Q9UKF2
2016-11-17 13:04:54 - __main__ - INFO: Processing UniProt entry 196: A8MUL3
2016-11-17 13:04:55 - __main__ - INFO: Processing UniProt entry 197: Q08462
2016-11-17 13:04:56 - __main__ - INFO: Processing UniProt entry 198: O60266
2016-11-17 13:05:02 - __main__ - INFO: Processing UniProt entry 199: O95622
2016-11-17 13:05:03 - __main__ - INFO: Processing UniProt entry 200: Q04917
2016-11-17 13:05:04 - __main__ - INFO: Processing UniProt entry 201: P30455
2016-11-17 13:05:10 - __main__ - INFO: Processing UniProt entry 202: P10316
2016-11-17 13:05:11 - __main__ - INFO: Processing UniProt entry 203: Q09160
2016-11-17 13:05:12 - __main__ - INFO: Processing UniProt entry 204: P30460
